Occupation Title,,Median Annual Wage 2018,Typical Entry-Level Education,Education Code,Work Experience in a Related Occupation,Typical on-the-job Training
Nurse midwives    * Certified Nurse Midwife* Certified Nurse Midwife (CNM),,"103,770",Master's degree,2,None,None
Nurse practitioners    * Acute Care Nurse Practitioner* Adult Nurse Practitioner* Cardiology Nurse Practitioner* Certified Nurse Practitioner* Certified Pediatric Nurse Practitioner* Certified Registered Nurse Practitioner* Dermatology Nurse Practitioner* Electrophysiology Nurse Practitioner* Emergency Medicine Nurse Practitioner* Family Health Nurse Practitioner* Family Practice Nurse Practitioner* Gastroenterology Nurse Practitioner* Gerontological Nurse Practitioner* Internal Medicine Nurse Practitioner* NP* Neurosurgical Nurse Practitioner* Nurse Practitioner* Obstetrics-Gynecology Nurse Practitioner* Orthopedic Nurse Practitioner* Palliative Care Nurse Practitioner* Pediatric Nurse Practitioner* Surgical Nurse Practitioner,,"107,030",Master's degree,2,None,None
Nursing assistants    * C.N.A.* Certified Nurse Aide* Certified Nursing Assistant* Hospital Aide* Hospital Attendant* Nursing Aide* Nursing Attendant* Nursing Care Attendant,,"28,540",Postsecondary nondegree award,5,None,None
"Nursing instructors and teachers, postsecondary    * Advanced Nursing Professor* Clinical Nursing Instructor* Clinical Nursing Professor* Registered Nursing Professor",,"73,490",Doctoral or professional degree,1,Less than 5 years,None
Obstetricians and gynecologists    * Gynecologist* OB Specialist* OB/GYN* OB/GYN Physician* Obstetrician* Obstetrician/Gynecologist,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
Occupational health and safety specialists    * Certified Indoor Environmentalist* Certified Industrial Hygienist* Certified Professional Ergonomist* Environmental Health Sanitarian* Health and Safety Inspector* Industrial Hygienist* Industrial Safety and Health Specialist* Occupational Health and Safety Specialist* Occupational Safety and Health Inspector* Radiological Health Specialist,,"73,020",Bachelor's degree,3,None,None
Occupational health and safety technicians    * CHST* Construction Health and Safety Technician* Environmental Health Technologist* Ergonomics Technician* Occupational Health and Safety Technician* Occupational Health and Safety Technologist* Occupational Health and Safety Technologist (OHST),,"50,780",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Occupational therapists    * OT* Occupational Therapist* Registered Occupational Therapist,,"84,270",Master's degree,2,None,None
Occupational therapy aides    * Certified Occupational Rehabilitation Aide* OT Aide* Occupational Rehabilitation Aide* Occupational Therapist Aide* Rehabilitation Services Aide,,"28,160",High school diploma or equivalent,7,None,Short-term on-the-job training
Occupational therapy assistants    * COTA* Certified Occupational Therapy Assistant* Licensed Occupational Therapy Assistant* Occupational Therapist Assistants,,"60,220",Associate's degree,4,None,None
"Office and administrative support workers, all other    * Braille Transcriber* Envelope Stuffer* Fingerprint Clerk* Investigation Clerk* Newspaper Inserter* Notary Public",,"34,850",High school diploma or equivalent,7,None,Short-term on-the-job training
"Office clerks, general    * Administrative Clerk* Office Assistant* Office Clerk* Real Estate Clerk",,"32,730",High school diploma or equivalent,7,None,Short-term on-the-job training
"Office machine operators, except computer    * Business Machine Operator* Coin Machine Operator* Coin Rolling Machine Operator* Coin Wrapping Machine Operator* Collator Operator* Copy Center Operator* Copy Machine Operator* Duplicating Machine Operator",,"32,790",High school diploma or equivalent,7,None,Short-term on-the-job training
Operating engineers and other construction equipment operators    * Angle Dozer Operator* Blade Grader Operator* Bulldozer Operator* Ditching Machine Operating Engineer* Grader Operator* Motor Grader Operator* Scraper Operator* Steam Shovel Operating Engineer* Steam Shovel Operator,,"47,810",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Operations research analysts    * Operations Analyst* Operations Research Analyst* Procedure Analyst* Process Analyst,,"83,390",Bachelor's degree,3,None,None
Ophthalmic laboratory technicians    * Contact Lens Cutter* Contact Lens Technician* Eyeglass Assembler* Eyeglass Lens Cutter* Eyeglass Maker* Lens Grinder* Lens Grinder and Polisher* Lens Mounter* Precision Lens Centerer and Edger* Prescription Eyeglass Maker,,"31,830",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Ophthalmic medical technicians    * Ocular Care Technologist* Ophthalmic Technologist,,"36,530",Postsecondary nondegree award,5,None,None
"Opticians, dispensing    * Certified Optician* Contact Lens Fitter* Eyeglass Fitter* Licensed Dispensing Optician* Licensed Optical Dispenser* Licensed Optician* Optical Dispenser* Optician",,"37,010",High school diploma or equivalent,7,None,Long-term on-the-job training
Optometrists    * Doctor of Optometry* Optometrist,,"111,790",Doctoral or professional degree,1,None,None
Oral and maxillofacial surgeons    * Dental Surgeon* Maxillofacial Surgeon* Oral Surgeon,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
Order clerks    * Catalogue Clerk* Classified Ad Clerk* Mail Order Clerk* Order Desk Clerk* Service Order Clerk* Subscription Clerk* Want Ad Clerk,,"33,460","Some college, no degree",6,None,Short-term on-the-job training
Orderlies    * Emergency Room Orderly* Hospital Orderly* Medical Orderly* Orderly* Surgical Orderly,,"28,060",High school diploma or equivalent,7,None,Short-term on-the-job training
Orthodontists    * Dentofacial Orthopedics Dentist* Invisible Braces Orthodontist* Orthodontist* Pediatric Orthodontist,,">=208,000",Doctoral or professional degree,1,None,Internship/residency
Orthotists and prosthetists    * American Board Certified Orthotist* Artificial Limb Fitter* Certified Orthotic Fitter* Certified Prosthetist/Orthotist* Licensed Prosthetist* Orthotic/Prosthetic Practitioner* Orthotist* Pedorthist* Prosthetist,,"69,120",Master's degree,2,None,Internship/residency
Outdoor power equipment and other small engine mechanics    * Chain Saw Mechanic* Edge Trimmer Mechanic* Electric Golf Cart Repairers* Electric Wheelchair Repairer* Go-Cart Mechanic* Golf Cart Mechanic* Lawn Mower Repairer* Mobility Scooter Repairer* Motor Scooter Mechanic* Power Saw Mechanic* Power Wheelchair Mechanic* Snowblower Mechanic* Snowmobile Mechanic,,"35,400",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Packaging and filling machine operators and tenders    * Bottle Capper* Bottle Line Worker* Bottle Packer* Can Filler* Can Sealer* Keg Filler* Potato Chip Packaging Machine Operator* Tea Bag Packer,,"30,160",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Packers and packagers, hand    * Bagger* Carton Wrapper* Egg Packer* Gift Wrapper* Grocery Store Bagger* Meat Packager* Meat Wrapper* Utility Bagger",,"24,580",No formal educational credential,8,None,Short-term on-the-job training
"Painters, construction and maintenance    * Bridge Painter* Facilities Painter* Highway Painter* House Painter* Industrial Painter* Parking Line Painter* Roof Painter* Traffic Line Painter",,"38,940",No formal educational credential,8,None,Moderate-term on-the-job training
"Painters, transportation equipment    * Aircraft Painter* Auto Body Painter* Auto Painter* Automobile Body Painter* Automobile Refinisher* Automotive Paint Technician* Automotive Refinish Technician* Automotive Spray Painter* Boat Painter* Railroad Car Painter* Tactical Vehicle Painter* Vehicle Painter",,"42,280",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Painting, coating, and decorating workers    * Ceramic Painter* China Decorator* Glass Decorator* Lacquerer* Sign Painter",,"31,050",No formal educational credential,8,None,Moderate-term on-the-job training
"Paper goods machine setters, operators, and tenders    * Box Fabricator* Carton Making Machine Operator* Corrugated Box Machine Operator* Corrugator Machine Operator* Corrugator Operator* Envelope Machine Operator* Napkin Machine Operator* Paper Bag Machine Operator* Paper Cone Machine Tender* Paper Machine Operator",,"38,730",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Paperhangers    * Billboard Poster* Paperhanger* Wall Covering Installer* Wallpaper Hanger* Wallpaperer,,"38,090",No formal educational credential,8,None,Long-term on-the-job training
Paralegals and legal assistants    * Assistant Paralegal* Legal Aide* Legal Assistant* Paralegal* Summer Associate* Summer Law Clerk,,"50,940",Associate's degree,4,None,None
Parking enforcement workers    * Meter Maid* Parking Enforcement Officer* Parking Meter Attendant,,"39,840",High school diploma or equivalent,7,None,Short-term on-the-job training
Parking lot attendants    * Auto Parker* Car Jockey* Parking Attendant* Parking Ramp Attendant* Valet Parker* Valet Runner,,"23,870",No formal educational credential,8,None,Short-term on-the-job training
Parts salespersons    * Appliance Parts Counter Clerk* Auto Parts Salesperson* Electronic Parts Salesperson* Parts Clerk* Parts Counter Clerk,,"30,430",No formal educational credential,8,None,Moderate-term on-the-job training
"Patternmakers, metal and plastic    * Metal Patternmaker",,"45,840",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Patternmakers, wood    * Wood Die Maker",,"60,940",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Paving, surfacing, and tamping equipment operators    * Asphalt Paver* Asphalt Paving Machine Operator* Asphalt Roller Operator* Asphalt Tamping Machine Operator* Blacktop-Paver Operator* Paver Operator* Road Grader* Screed Operator",,"39,780",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Payroll and timekeeping clerks    * Flight Crew Time Clerk* Payroll Bookkeeper* Personnel Scheduler* Time Clerk* Time and Attendance Clerk* Timekeeper,,"45,050",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Pediatricians, general    * General Pediatrician* Paediatrician* Pediatrist* Primary Care Pediatrician",,"170,560",Doctoral or professional degree,1,None,Internship/residency
Personal care aides    * Blind Aide* Blind Escort* Elderly Companion* Geriatric Personal Care Aide* Personal Support Worker,,"24,020",High school diploma or equivalent,7,None,Short-term on-the-job training
"Personal care and service workers, all other    * Butler* Doula* House Sitter* Magnetic Healer* Shoe Shiner* Valet",,"26,180",High school diploma or equivalent,7,None,Short-term on-the-job training
Personal financial advisors    * Certified Financial Planner* Estate Planner* Estate Planning Counselor* Financial Counselor* Individual Pension Adviser* Individual Pension Consultant* Personal Financial Advisor* Personal Financial Planner* Personal Investment Adviser,,"88,890",Bachelor's degree,3,None,Long-term on-the-job training
Pest control workers    * Exterminator* Fumigator* Insecticide Expert* Mosquito Sprayer* Pest Controller* Rat Exterminator* Rodent Exterminator* Termite Technician* Termite Treater,,"35,610",High school diploma or equivalent,7,None,Moderate-term on-the-job training
"Pesticide handlers, sprayers, and applicators, vegetation    * Certified Pesticide Applicator* Fruit Sprayer* Herbicide Sprayer* Orchard Sprayer* Plant Sprayer* Weed Sprayer",,"35,320",High school diploma or equivalent,7,None,Moderate-term on-the-job training
Petroleum engineers    * Natural Gas Engineer* Oil Drilling Engineer* Oil Exploration Engineer* Oil Well Engineer* Petroleum Engineer,,"137,170",Bachelor's degree,3,None,None
